video_id,frame_index,timestamp_s,slot_id,state
VIRAT_S_050202_10_002159_002233,0,0.000000000,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,1,0.033366667,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,2,0.066733333,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,3,0.100100000,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,4,0.133466667,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,5,0.166833333,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,6,0.200200000,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,7,0.233566667,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,8,0.266933333,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,9,0.300300000,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,10,0.333666667,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,11,0.367033333,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,12,0.400400000,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,13,0.433766667,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,14,0.467133333,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,15,0.500500000,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,16,0.533866667,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,17,0.567233333,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,18,0.600600000,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,19,0.633966667,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,20,0.667333333,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,21,0.700700000,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,22,0.734066667,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,23,0.767433333,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,24,0.800800000,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,25,0.834166667,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,26,0.867533333,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,27,0.900900000,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,28,0.934266667,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,29,0.967633333,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,30,1.001000000,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,31,1.034366667,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,32,1.067733333,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,33,1.101100000,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,34,1.134466667,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,35,1.167833333,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,36,1.201200000,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,37,1.234566667,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,38,1.267933333,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,39,1.301300000,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,40,1.334666667,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,41,1.368033333,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,42,1.401400000,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,43,1.434766667,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,44,1.468133333,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,45,1.501500000,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,46,1.534866667,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,47,1.568233333,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,48,1.601600000,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,49,1.634966667,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,50,1.668333333,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,51,1.701700000,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,52,1.735066667,0502-departing-01,1
VIRAT_S_050202_10_002159_002233,53,1.768433333,0502-departing-01,1
